(Almost) Original Fragment,Fragment,Tags,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"thy passionate eyes lament with mine,","thy passionate eyes lament with mine,",0 1 1 1 0 0,emotions,anatomy,,,,,
"Lament the Roman land,","Lament the Roman land,",1 0 1 1,emotions,politics,geography,,,,
"This musick mads me,","This musick mads me,",0 1 1 0,music,mental faculty & state,,,,,
To heare him sing drawes riuers from his eyes.,To heare him sing drawes riuers from his eyes.,0 1 0 1 1 1 0 0 1,sensations,music,labor,nature,anatomy,,
"That we may tast of louers blisse,","That we may tast of louers blisse,",0 0 0 1 0 1 1,food,emotions,religion,,,,
"Ile laugh at time, till it will change our Fate.","Ile laugh at time, till it will change our Fate.",0 1 0 1 0 0 0 1 0 1,derision,time,transformation,mystical,,,
"Thy heart mournes in thee, though thy visage smile,","Thy heart mournes in thee, though thy visage smile,",0 1 1 0 0 0 0 1 1,anatomy,emotions,appearance,facial expression,,,
"humors Are but put on for safety, and to arme them Against the pride of Tarquin","humors Are but put on for safety, and to arme them Against the pride of Tarquin",1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1,mental faculty & state,clothes,danger,weapons,character traits & nature,politics,
"this [danger] makes me lose my houres At home with Lucrece [wife], ","this [danger] makes me lose my houres At home with Lucrece [wife], ",0 1 0 0 1 0 1 0 1 0 1 1,danger,privation,time,domestic,matrimony,,
"Fortune I embrace thee, ","Fortune I embrace thee, ",1 0 1 0,mystical,affection,,,,,
"what is MALT, M much, A ale, L little, T thrift, ","what is MALT, M much, A ale, L little, T thrift, ",0 0 1 1 1 1 1 1 1 1 1,food,language,quantities,economics,,,
"with celestiall fire Shot from thy [god's] beames, crowne our desire,","with celestiall fire Shot from thy [god's] beames, crowne our desire,",0 1 1 1 0 0 1 1 1 0 1,religion,fire,movement,light,politics,emotions,
Our hearts with inflammations burne,Our hearts with inflammations burne,0 1 0 1 1,anatomy,medicine,fire,,,,
Ennobled brest To thy safe guiding?,Ennobled brest To thy safe guiding?,1 1 0 0 1 1,character traits & nature,anatomy,danger,eduction,,,
"Is it with heauens applause decreed, VVhen Tarquins [king] soule from earth is freed","Is it with heauens applause decreed, VVhen Tarquins [king] soule from earth is freed",0 0 0 1 1 1 0 1 1 1 0 1 0 1,religion,recognition,judiciary,politics,nature,social relations,
Oracle hast thou lost thy tongue?,Oracle hast thou lost thy tongue?,1 0 0 1 0 1,religion,privation,anatomy,,,,
"by the heauens doome, Phoebus thy thoughts no longer smother.","by the heauens doome, Phoebus thy thoughts no longer smother.",0 0 1 1 1 0 1 0 0 1,religion,destruction,mental faculty & state,violence,,,
Mother earth to thee an humble kisse,Mother earth to thee an humble kisse,1 1 0 0 0 1 1,familial,nature,character traits & nature,affection,,,
"The bloud of the slaughtred sacrifice made this flore as slippry as the place where Tarquin [king] treades, ","The bloud of the slaughtred sacrifice made this flore as slippry as the place where Tarquin [king] treades, ",0 1 0 0 1 1 0 0 1 0 1 0 0 1 0 1 1 1,anatomy,violence,religion,architecture,danger,politics,movement
tis [the flore] glassy and as smoth as yce: ,tis [the flore] glassy and as smoth as yce ,0 1 1 1 0 0 1 0 1,architecture,material,cleaning,nature,,,
they [oracles] speake still in cloudes,they [oracles] speake still in cloudes,0 1 1 0 0 1,religion,language,nature,,,,
"If a kisse will make me a king, Tullia [mother], I will spring to thee [mother], though through the bloud of Sextus [brother].","If a kisse will make me a king, Tullia [mother], I will spring to thee [mother], though through the bloud of Sextus [brother].",0 0 1 0 1 0 0 1 1 1 0 0 1 0 1 1 0 1 0 1 0 1 1,affection,transformation,politics,familial,movement,spatial,anatomy
I shall shine as bright in Rome as Apollo himselfe in his temple at Delphos.,I shall shine as bright in Rome as Apollo himselfe in his temple at Delphos.,0 0 1 0 1 0 1 0 1 0 0 0 1 0 1,light,politics,religion,architecture,,,
"Now Phoebus let thy sweet tun'd organs sound, VVhose spherelike musicke must direct our feet Vpon the marble pauement","Now Phoebus let thy sweet tun'd organs sound, VVhose spherelike musicke must direct our feet Vpon the marble pauement",0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 1,religion,music,astrology,education,anatomy,materials,urban
your eares Be deafe vnto our counsels.,your eares Be deafe vnto our counsels.,0 1 0 1 0 0 1,anatomy,deformities,assistance,,,,
"thou [wife] art our Oracle,","thou [wife] art our Oracle,",1 1 0 0 1,matrimony,religion,,,,,
"weele teach to feare,","weele teach to feare,",0 1 0 1,education,emotions,,,,,
"[the] rich our pray,","[the] rich our pray,",1 1 0 1,economics,hunting,,,,,
Kings are as Gods,Kings are as Gods,1 0 0 1,politics,religion,,,,,
"Kings that are proud, yet would secure their owne, By loue abroad, shall purchase feare at home.","Kings that are proud, yet would secure their owne, By loue abroad, shall purchase feare at home.",1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 1,politics,character traits & nature,danger,emotions,geography,economics,domestic
"how dare treason looke Vs in the face, hauing issue?","how dare treason looke Vs in the face, hauing issue?",0 1 1 1 0 0 0 1 0 1,resistance,politics,sensations,anatomy,familial,,
barren princes Breed danger ,barren princes Breed danger ,1 1 1 1,reproduction,politics,danger,,,,
their [princes] clame dies with them,their [princes] clame dies with them,1 1 1 1 0 0,politics,death,,,,,
"But when in topping, on three Tarquins [princes] more, Like Hydraes heads grow to reuenge his [father's] death, ","But when in topping, on three Tarquins [princes] more, Like Hydraes heads grow to reuenge his [father's] death, ",0 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1,politics,quantities,myth,anatomy,violence,familial,death
It [having heirs] terrifies blacke treason.,It [having heirs] terrifies blacke treason.,0 1 1 1 1 1,familial,emotions,colors,politics,,,
Being eldest in my birth i'le not be yongest In zeale to Tullia [mother].,Being eldest in my birth i'le not be yongest In zeale to Tullia [mother].,0 1 0 0 1 0 0 0 1 0 1 0 1 1,familial,reproduction,life's cycle,devotion,,,
"thinke this kisse to be a crowne, thus wold we tug fort.","thinke this kisse to be a crowne, thus wold we tug fort.",0 0 1 0 0 0 1 0 0 0 1 0,affection,politics,violence,,,,
"they tug for shadowes,","they tug for shadowes,",0 1 0 1,violence,darkness,,,,,
"Through armed gates, and thousand swords il'e breake To shew my duty,","Through armed gates, and thousand swords il'e breake To shew my duty,",0 1 1 0 1 1 0 1 0 0 0 1,weapons,architecture,quantities,violence,devotion,,
let my valour speake.,let my valour speake.,0 0 1 1,character traits & nature,language,,,,,
Curb in the proud boyes fury,Curb in the proud boyes fury,1 0 0 1 1 1,equestrian,character traits & nature,life's cycle,emotions,,,
how great's my heart!,how great's my heart!,0 1 0 1,character traits & nature,anatomy,,,,,
hate borne from loue.,hate borne from loue.,1 1 0 1,emotions,reproduction,,,,,
weare the sacred tincture of his bloud Vpon the seruile shoe,weare the sacred tincture of his bloud Vpon the seruile shoe,1 0 1 1 0 0 1 0 0 1 1,clothes,religion,colors,anatomy,social relations,,
lest with our surpast eies of wrath & fury We looke into the humour;,lest with our surpast eies of wrath & fury We looke into the humour,0 0 0 0 1 0 1 1 1 0 1 0 0 1,anatomy,emotions,sensations,joviality,,,
Euen in thy last reproofe of our proceedings Thou hadst pronounc't thy death.,Euen in thy last reproofe of our proceedings Thou hadst pronounc't thy death.,0 0 0 0 1 0 0 1 0 0 1 0 1,language,politics,death,,,,
"let Tullia [queen] either get closer eares, ","let Tullia [queen] either get closer eares, ",0 1 1 0 0 1 1,politics,spatial,anatomy,,,,
or get for Brutus [messanger] a stricter tongue.,or get for Brutus [messanger] a stricter tongue.,0 0 0 1 1 0 0 1,social status,anatomy,,,,,
"Had I as many soules as drops of bloud In this brancht vaines,","Had I as many soules as drops of bloud In this brancht vaines,",0 0 0 1 1 0 1 1 1 0 0 0 1,quantities,religion,anatomy,,,,
"as many liues as starres Stucke in yond azare roofe, ","as many liues as starres Stucke in yond azare roofe, ",0 1 1 0 1 1 0 1 1 1,quantities,life,nature,adhesion,spatial,colors,architecture
were to dy More deathes then I see wasted weary minuts,were to dy More deathes then I see wasted weary minuts,0 0 1 1 1 0 0 1 1 1 1,death,quantities,sensations,consumption,physical attributes,time,
To purchase freedome to this bondag'd Rome.,To purchase freedome to this bondag'd Rome.,0 1 1 0 0 1 1,economics,social relations,incarceration,politics,,,
virgin conqueresse weare shackles in my sight.,virgin conqueresse weare shackles in my sight.,1 1 1 1 0 0 1,sexuality,military,incarceration,sensations,,,
Oh would my teares would rid great Rome of these prodigious feares.,Oh would my teares would rid great Rome of these prodigious feares.,0 0 0 1 0 1 0 1 0 0 1 1,anatomy,privation,politics,emotions,,,
"some violent bustling to breake through this thorny seruitude, ","some violent bustling to breake through this thorny seruitude, ",0 1 1 0 1 1 0 1 1,violence,movement,spatial,nature,social status,,
Romes still sad.,Romes still sad.,1 0 1,politics,emotions,,,,,
"The kings feare like a shadow dogs you still, Nor can you walke without it","The kings feare like a shadow dogs you still, Nor can you walke without it",0 1 1 0 0 1 1 0 0 0 0 0 1 0 0,politics,emotions,darkness,animals,movement,,
lets all weare out our houres In harmles sports,lets all weare out our houres In harmles sports,0 0 1 1 0 1 0 0 1,clothes,time,games & sport,,,,
"In dangers bloudy iawes where being humerous, Cloudy and curiously inquisitiue Into the kings proceedings, there armde feare May search into vs, ","In dangers bloudy iawes where being humerous, Cloudy and curiously inquisitiue Into the kings proceedings, there armde feare May search into vs, ",0 1 1 1 0 0 1 1 0 1 1 0 0 1 1 0 1 1 0 1 0 0,danger,anatomy,joviality,politics,weapons,emotions,discovering
"let vs stay the time, Till heauen haue made them ripe for iust reuenge,","let vs stay the time, Till heauen haue made them ripe for iust reuenge,",0 0 1 0 1 0 1 0 0 0 1 0 1 1,preservation,time,religion,agriculture,judiciary,violence,
And then strike home,And then strike home,0 0 1 1,violence,domestic,,,,,
"Oh the cherry lips of Nelly [woman], They are red and soft as ielly,","Oh the cherry lips of Nelly [woman], They are red and soft as ielly,",0 0 1 1 0 1 1 0 0 1 0 1 0 1,food,anatomy,women,color,sexuality,,
"Oh that wench is pestilent holy,","Oh that wench is pestilent holy,",0 0 1 0 1 1,women,medicine,religion,,,,
But her [woman] cheekes hang like a satchell.,But her [woman] cheekes hang like a satchell.,0 1 1 1 0 0 0 1,women,anatomy,clothes,,,,
to sing with our heads on ,to sing with our heads on ,0 1 0 0 1 1,music,anatomy,,,,,
then weepe with our heads off,then weepe with our heads off,0 1 0 0 1 1,emotions,anatomy,violence,,,,
"you must afford an eare As well as he, to what we ha to say.","you must afford an eare As well as he, to what we ha to say.",0 0 1 0 1 0 0 0 0 0 0 0 0 0 1,economics,anatomy,language,,,,
"to say that euer I flung any sheepes eies in her face,","to say that euer I flung any sheepes eies in her face,",0 0 0 1 0 1 0 1 1 0 0 1,time,courting,animals,anatomy,,,
shadow of incontinence,shadow of incontinence,1 1 1,darkness,sexuality,,,,,
"my reputation Which is held pretious in the eies of Rome, Shall be no shelter to the least intent Of loosenes, ","my reputation Which is held pretious in the eies of Rome, Shall be no shelter to the least intent Of loosenes, ",0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1,recognition,anatomy,politics,accomodation,mental faculty & state,sexuality,
"though no Romane by my nose, ","though no Romane by my nose, ",0 0 1 0 0 1,ethnicity,anatomy,,,,,
I neuer spent the least lip labour on mistris Mirable,I neuer spent the least lip labour on mistris Mirable,0 0 1 0 0 1 1 0 1 0,economics,anatomy,labor,women,,,
say so much behind my backe; ,say so much behind my backe ,1 0 0 1 0 1,language,spatial,anatomy,,,,
"in stead of plucking my coat, pluck my skin ouer my eares & turne me away naked, ","in stead of plucking my coat, pluck my skin ouer my eares & turne me away naked, ",0 0 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1,violence,clothes,anatomy,,,,
"were euer worth such a iewell, would I might die a begger, ","were euer worth such a iewell, would I might die a begger, ",0 1 1 0 0 1 0 0 0 1 0 1,time,economics,death,,,,
I shall euen spoile one of the best faces in Rome with crying at your vnkindnes.,I shall euen spoile one of the best faces in Rome with crying at your vnkindnes.,0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1,destruction,anatomy,politics,sounds,character traits & nature,,
"you are like to haue [dinner] but cold cheare,","you are like to haue [dinner] but cold cheare,",0 0 0 0 1 1 0 1 1,food,temperature,emotions,,,,
My man's [the servant] a Rhetorician,My man's [the servant] a Rhetorician,0 1 1 1 0 1,social status,language,,,,,
"I ha not the power to part from you, without a relish, a note, a tone, we must get an aire betwixt vs.","I ha not the power to part from you, without a relish, a note, a tone, we must get an aire betwixt vs.",0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 1 1 0,social relations,privation,food,music,nautre,spatial,
"euerlastingly bound to your honour,","euerlastingly bound to your honour,",1 1 0 0 1,time,incarcertation,social status,,,,
"I am now forsaking the world and the Diuill,","I am now forsaking the world and the Diuill,",0 0 0 1 0 1 0 0 1,privation,nature,religion,,,,
"Her tongue not too lowd nor cocket,","Her tongue not too lowd nor cocket,",0 1 0 0 1 0 1,anatomy,sounds,character traits & nature,,,,
"a soft lip that entangles,","a soft lip that entangles,",0 1 1 0 1,sexuality,anatomy,hunting,,,,
"house of sin, Nor place that hath beene bawdy.","house of sin, Nor place that hath beene bawdy.",1 0 1 0 1 0 0 0 1,architecture,religion,spatial,sexuality,,,
"thou hast to our yoake, Supprest the necke of a proud nation","thou hast to our yoake, Supprest the necke of a proud nation",0 0 0 0 1 1 0 1 0 0 1 1,agriculture,violence,anatomy,character traits & nature,politics,,
whō we here receiue into our bosom,whō we here receiue into our bosom,0 0 0 1 1 0 1,recognition,spatial,anatomy,,,,
VVe enterchange a royall heart with Sextus [brother] and graft vs in your loue.,VVe enterchange a royall heart with Sextus [brother] and graft vs in your loue.,0 1 0 1 1 0 1 1 0 1 0 0 0 1,social relations,social status,anatomy,familial,agriculture,emotions,
"this our religious league, Shall be caru'd firme in characters of brasse, And liue for euer to succeeding times.","this our religious league, Shall be caru'd firme in characters of brasse, And liue for euer to succeeding times.",0 0 1 1 0 0 1 1 0 1 0 1 0 1 1 1 0 1 1,religion,politics,art,language,materials,life,time
"Sextus [prince] Generall all our army, who hath proved his fortunes And found them full of sauour, ","Sextus [prince] Generall all our army, who hath proved his fortunes And found them full of sauour, ",1 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1,politics,military,judiciary,mystical,discovering,recognition,
bodie of the Camp,bodie of the Camp,1 0 0 1,anatomy,military,,,,,
"Tis an obiect [the camp], to please Porsennaes [king] Eie. ","Tis an obiect [the camp], to please Porsennaes [king] Eie. ",0 0 1 1 1 0 1 1 1 1,military,feelings,politics,anatomy,,,
"This sight's [camp] more pleasing to Porsennaes [king] eye, Then all our rich Attalia pompous feasts,","This sight's [camp] more pleasing to Porsennaes [king] eye, Then all our rich Attalia pompous feasts,",0 1 1 0 1 0 1 1 1 0 1 0 1 1 1 1,military,feelings,politics,anatomy,economics,geography,food
we are borne a soldier: And in our nunnage suckt the milke of warre.,we are borne a soldier And in our nunnage suckt the milke of warre.,0 0 1 0 1 0 0 0 1 1 0 1 0 1,reproduction,military,life's cycle,food,,,
"the merciles gulfe of confusion Should swallow them, ","the merciles gulfe of confusion Should swallow them, ",0 1 1 0 1 0 1 0,character traits & nature,nature,mental faculty & state,food,,,
supply Of men and Armes,supply Of men and Armes,1 0 1 0 1,economics,military,weapons,,,,
"You are our Royall brother,","You are our Royall brother,",0 0 0 1 1,politics,familial,,,,,
"shall demand Vse of our loue, tis ready stor'de for you, Euen in our Kingly breast.","shall demand Vse of our loue, tis ready stor'de for you, Euen in our Kingly breast.",0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1,commands,devotion,economics,politics,anatomy,,
Of two remote dominions make one heart.,Of two remote dominions make one heart.,0 1 1 1 0 1 1,quantities,spatial,politics,anatomy,,,
the earth must be our [soldiers'] bed.,the earth must be our [soldiers'] bed.,0 1 0 0 0 1 1,nature,military,sleep,,,,
Hostile incursions become a prison ,Hostile incursions become a prison ,1 1 0 0 1,violence,incarceration,,,,,
I cannot talke till my bloud be mingled with this bloud of grapes:,I cannot talke till my bloud be mingled with this bloud of grapes,0 0 1 0 0 1 0 1 0 0 1 0 1,language,anatomy,adhesion,food,,,
"came this hie-German health as double as his double double ruffe,","came this hie German health as double as his double double ruffe,",0 0 1 1 1 0 1 0 0 1 1 1,ethnicity,medicine,quantities,clothes,,,
"were it as deep as his [German] ruffe, let the health go round about the board as his band goes round about his necke,","were it as deep as his [German] ruffe, let the health go round about the board as his band goes round about his necke,",0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1,spatial,ethnicity,clothes,medicine,food,anatomy,
"I am no more afraid of this dutch fauchiō, thē I should be of the heathenish inuention.","I am no more afraid of this dutch fauchiō, thē I should be of the heathenish inuention.",0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1,emotions,ethnicity,clothes,religion,discovering,,
what are women But tortures ,what are women But tortures ,0 0 1 0 1,women,violence,,,,,
"if [women be] faire, Th'are like rich vessels ful of poysnous drugs,","if [women be] faire, Th'are like rich vessels ful of poysnous drugs,",0 1 0 1 0 0 1 1 0 0 1 1,women,appearance,economics,food,medicine,,
"(if [women be] faire), Or like black serpents arm'd with golden scales,","(if [women be] faire), Or like black serpents arm'd with golden scales,",0 1 0 1 0 0 1 1 1 0 1 1,women,appearance,colors,animals,weapons,economics,anatomy
"a womans chāpion, and shall vnhorse thee else.","a womans chāpion, and shall vnhorse thee else.",0 1 1 0 0 1 0 0,women,social relations,equestrian,,,,
"women [virtues] enflame the appetite, ","women [virtues] enflame the appetite, ",1 1 1 0 1,women,character traits & nature,fire,food,,,
"flax wil not be toucht with fire, Nor they [women] be won to what they most desire.","flax wil not be toucht with fire, Nor they [women] be won to what they most desire.",1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 1,materials,sensations,fire,women,games & sport,sexuality,
"[women] Some Grapes are sweete and in the Gardens grow, ","[women] Some Grapes are sweete and in the Gardens grow, ",1 0 1 0 1 0 0 0 1 1,women,food,agriculture,,,,
"Others [women] vnprunde, turne wild neglected so.","Others [women] vnprunde, turne wild neglected so.",1 1 1 0 1 1 0,women,agriculture,nature,privation,,,
"[women] The purest oare containes both Gold and drosse, The one all gaine, the other nought but losse.","[women] The purest oare containes both Gold and drosse, The one all gaine, the other nought but losse.",1 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1,women,cleaning,materials,economics,,,
[women] The other angels and sweete featurde saints.,[women] The other angels and sweete featurde saints.,1 0 0 1 0 0 1 1,women,religion,appearance,,,,
Oh this [vertuous] were a braue controuersie for a Iury of weomen to arbitrate,Oh this [vertuous] were a braue controuersie for a Iury of weomen to arbitrate,0 1 1 0 0 0 1 0 0 1 0 1 0 1,character traits & nature,judiciary,women,,,,
"It is now dead of night, ","It is now dead of night, ",0 0 0 1 0 1,death,darkness,,,,,
be thou but as prouident ore the army as we […] expeditious in our iorney,be thou but as prouident ore the army as we […] expeditious in our iorney,0 0 0 0 1 0 0 1 0 0 0 1 0 0 1,economics,military,movement,speed,geography,,
"that the Masters eie is from his charge,","that the Masters eie is from his charge,",0 0 1 1 0 0 0 1,social status,anatomy,labor,,,,
"We banish all excesse til his [husband] returne,","We banish all excesse til his [husband] returne,",0 1 0 1 0 1 1 1,politics,etiquette,matrimony,social relations,,,
"thus wiues should doe, In absence of their Lords be husband too.","thus wiues should doe, In absence of their Lords be husband too.",0 1 0 0 0 1 0 0 1 0 1 0,matrimony,privation,social status,,,,
"They [women] weare so much corke vnder their heeles, they cannot choose but loue to caper.","They [women] weare so much corke vnder their heeles, they cannot choose but loue to caper.",1 1 1 0 0 1 1 0 1 0 0 1 0 1 0 1,women,clothes,materials,spatial,mental faculty & state,emotions,joviality
"The richest entertainment liues with vs,","The richest entertainment liues with vs,",0 1 1 1 0 0,economics,etiquette,life,,,,
"If a white wench may proue a black swan, ","If a white wench may proue a black swan, ",0 0 1 1 0 0 0 1 1,colors,women,animals,,,,
Nor can my loue wrong what my thought admire.,Nor can my loue wrong what my thought admire.,0 0 0 1 1 0 0 1 1,emotions,ethics,mental faculty & state,recognition,,,
"Then our impertiall harts and iudging eies, This verdit gives, ","Then our impertiall harts and iudging eies, This verdit gives, ",0 0 1 1 0 1 1 0 1 0,anatomy,judiciary,,,,,
the ioies and the delights of many thousand nights meet all in one to make my Lucrece [wife] happy.,the ioies and the delights of many thousand nights meet all in one to make my Lucrece [wife] happy.,0 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 1,sexaulity,quantities,darkness,spatial,matrimony,emotions,
"we cannot rest, Til our hot lust imbosome in thy brest.","we cannot rest, Til our hot lust imbosome in thy brest.",0 0 1 0 0 1 1 1 0 0 1,sleep,temperature,sexuality,anatomy,,,
"the charme of sleepe, Cease (Seize) with his downy wings vpon my eies,","the charme of sleepe, Cease (Seize) with his downy wings vpon my eies,",0 1 0 1 1 1 0 0 1 1 0 0 1,mystical,sleep,hunting,animals,anatomy,,
"idlenes, [...] Begets ranck lust, and vertue [beats away].","idlenes, ... Begets ranck lust, and vertue [beats away].",1 0 1 0 1 0 1 1 1,character traits & nature,reproduction,sexuality,ethics,violence,,
in this gift thou dost thy bed betray.,in this gift thou dost thy bed betray.,0 0 1 0 0 0 1 1,economics,domestic,social relations,,,,
"This ring […], hath opt our gates to you,","This ring […], hath opt our gates to you,",0 1 0 0 1 0 1 0 0,economics,spatial,architecture,,,,
Without that [the ring] key you had not entred here.,Without that [the ring] key you had not entred here.,0 0 1 1 1 0 0 0 1 0,economics,domestic,spatial,,,,
"Not loue-sicke, but loue lunatike, loue-mad,","Not loue sicke, but loue lunatike, loue mad,",0 1 1 0 1 1 1 1,emotions,medicine,mental faculty & state,,,,
"I am all fire, impatience,","I am all fire, impatience,",0 0 0 1 1,fire,character traits & nature,,,,,
"my bloud Boyles on my heart, with loose and sensuall thoughts.","my bloud Boyles on my heart, with loose and sensuall thoughts.",0 1 1 0 0 1 0 1 0 1 1,anatomy,temperature,sexuality,mental faculty & state,,,
"And such a reuerence hath fate giuen her brow, ","And such a reuerence hath fate giuen her brow, ",0 0 0 1 0 1 0 0 1,character traits & nature,mystical,anatomy,,,,
"a kind of blasphemy, To haue any wanton word harsh in her eares,","a kind of blasphemy, To haue any wanton word harsh in her eares,",0 0 0 1 0 0 0 1 1 1 0 0 1,religion,sexuality,language,sounds,anatomy,,
"Tis force, not suite, must purchase this rich treasure.","Tis force, not suite, must purchase this rich treasure.",0 1 0 1 0 1 0 1 1,violence,courting,economics,,,,
"Indeed I cannot feed, but on thy face, ","Indeed I cannot feed, but on thy face, ",0 0 0 1 0 0 0 1,food,anatomy,,,,,
Thou [woman] art the banquet that my thoughts embrace.,Thou [woman] art the banquet that my thoughts embrace.,1 1 0 0 1 0 0 1 1,women,food,mental faculty & state,affection,,,
"Thy vertue, grace and fame I must enioy, ","Thy vertue, grace and fame I must enioy, ",0 1 1 0 1 0 0 1,ethics,character traits & nature,recognition,sexuality,,,
Though in the purchase [of enjoyment] I all Rome destroy.,Though in the purchase [of enjoyment] I all Rome destroy.,0 0 0 1 0 1 0 0 1 1,economics,sexuality,politics,destruction,,,
And drowne her vertues in the iuice of grapes.,And drowne her vertues in the iuice of grapes.,0 1 0 1 0 0 1 0 1,violence,character traits & nature,food,,,,
my example Might in my seruants breed encouragement so to offend,my example Might in my seruants breed encouragement so to offend,0 1 0 0 0 1 1 1 0 0 1,ethics,social status,reproduction,assistance,derision,,
"her imperfections like a torrent With violence breakes vpon me, and at once Inuert and swallow all thats good in me.","her imperfections like a torrent With violence breakes vpon me, and at once Inuert and swallow all thats good in me.",0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0,character traits & nature,nature,violence,destruction,food,ethics,
"Preposterous fates, what mischiefes you inuolue Vpon a captiue Prince left to the fury Of all grand mischiefe,","Preposterous fates, what mischiefes you inuolue Vpon a captiue Prince left to the fury Of all grand mischiefe,",1 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1,deformities,mysical,ethics,spatial,politics,emotions,violence
"hath the grandame world Yet smothred such a strange abortiue wonder, That from her vertues should arise my sinne:","hath the grandame world Yet smothred such a strange abortiue wonder, That from her vertues should arise my sinne",0 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0 0 1,familial,nature,violence,mental faculty & state,reproduction,religion,character traits & nature
"My hart all firie lust, ","My hart all firie lust, ",0 1 0 1 1,anatomy,fire,sexuality,,,,
my soule all treason.,my soule all treason.,0 1 0 1,religion,politics,,,,,
"This ring speakes for me,","This ring speakes for me,",0 1 1 0 0,economics,language,,,,,
"in the night the obdure gates are lesse kind,","in the night the obdure gates are lesse kind,",0 0 1 0 1 1 0 0 1,darkness,resistance,architecture,character traits & nature,,,
"my hart's all sadnesse,","my hart's all sadnesse,",0 1 0 1,anatomy,emotions,,,,,
My waking soule I giue whilst my thoughts sleepe,My waking soule I giue whilst my thoughts sleepe,0 1 1 0 1 0 0 1 1,sleep,religion,mental faculty & state,,,,
"not too loud, imagine we were now going on the ropes with egs at our heeles, ","not too loud, imagine we were now going on the ropes with egs at our heeles, ",0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1,sounds,movement,theatre,food,anatomy,,
"What an asse art thou [servingman] to wonder,","What an asse art thou [servingman] to wonder,",0 0 1 0 1 1 0 1,animals,social status,mental faculty & state,,,,
"Ime as drousie as a doremouse, ","Ime as drousie as a doremouse, ",0 0 1 0 0 1,sleep,animals,,,,,
my head's as heavy as though I had a nightcap of lead on:,my head's as heavy as though I had a nightcap of lead on,0 1 0 1 0 0 0 0 0 1 0 1 0,anatomy,weight,clothes,materials,,,
my eies begin to glew themselues together,my eies begin to glew themselues together,0 1 0 0 1 0 0,anatomy,adhesion,,,,,
"for the two vertues of eating and sleeping, there's neuer a Roman spirit vnder the cope, can put me downe.","for the two vertues of eating and sleeping, there's neuer a Roman spirit vnder the cope, can put me downe.",0 0 0 1 0 1 0 1 0 0 0 1 1 1 0 1 0 1 1 1,character traits & nature,food,sleep,ethnicity,spatial,nature,games & sport
euerie man sneake into his kennell,euerie man sneake into his kennell,0 1 1 0 0 1,men,movement,animals,,,,
"Night, be as secret as thou art close, as close as thou art black and darke, ","Night, be as secret as thou art close, as close as thou art black and darke, ",1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1,darkness,concealment,spatial,colors,,,
"thou ominous Quuene Of Tenebrous, ","thou ominous Quuene Of Tenebrous, ",0 1 1 0 1,ethics,politics,darkness,,,,
"silence, make this fatall hower, as true to Rape as thou hast made it kinde To murder and harsh mischiefe","silence, make this fatall hower, as true to Rape as thou hast made it kinde To murder and harsh mischiefe",1 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1,sounds,death,time,devotion,sexuality,character traits & nature,violence
"Cinthea, maske thy cheeke, all you sparkling Elamentall fires,","Cinthea, maske thy cheeke, all you sparkling Elamentall fires,",1 1 0 1 0 0 1 1 1,myth,concealment,anatomy,light,fire,,
"[Cinthea] Choke vp your beauties in prodigious fogges, ","[Cinthea] Choke vp your beauties in prodigious fogges, ",1 1 1 0 1 0 1 1,myth,violence,appearance,mystical,nature,,
"Or be [Cinthea] extinct in some thick vaparous clowde, Least you beholde my practise [rape]:","Or be [Cinthea] extinct in some thick vaparous clowde, Least you beholde my practise [rape]",0 0 1 1 0 0 0 1 1 0 0 1 0 1 1,myth,destruction,nature,sensations,sexuality,,
"Vpon a blacke aduenture, on a deede [rape] That must wound vertue, and make beautie bleede.","Vpon a blacke aduenture, on a deede [rape] That must wound vertue, and make beautie bleede.",0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1,colors,geography,rape,violence,ethics,appearance,injuries
